127.0.0.1, 2017-08-08 14:59:31, GET, /, HTTP/1.1, 303, 0.000895
127.0.0.1, 2017-08-08 14:59:31, GET, /robots.txt, HTTP/1.1, 400, 0.000284
127.0.0.1, 2017-08-08 14:59:32, GET, /welcome/default/index, HTTP/1.1, 200, 1.304796
127.0.0.1, 2017-08-08 14:59:32, GET, /welcome/static/js/modernizr-2.8.3.min.js, HTTP/1.1, 200, 0.000755
127.0.0.1, 2017-08-08 14:59:32, GET, /welcome/static/css/bootstrap.min.css, HTTP/1.1, 200, 0.001486
127.0.0.1, 2017-08-08 14:59:32, GET, /welcome/static/css/web2py-bootstrap3.css, HTTP/1.1, 200, 0.003493
127.0.0.1, 2017-08-08 14:59:32, GET, /welcome/static/css/calendar.css, HTTP/1.1, 200, 0.000673
127.0.0.1, 2017-08-08 14:59:32, GET, /welcome/static/js/jquery.js, HTTP/1.1, 200, 0.000658
127.0.0.1, 2017-08-08 14:59:32, GET, /welcome/static/js/calendar.js, HTTP/1.1, 200, 0.000695
127.0.0.1, 2017-08-08 14:59:32, GET, /welcome/static/js/web2py.js, HTTP/1.1, 200, 0.000626
127.0.0.1, 2017-08-08 14:59:32, GET, /welcome/static/js/bootstrap.min.js, HTTP/1.1, 200, 0.000646
127.0.0.1, 2017-08-08 14:59:32, GET, /welcome/static/js/web2py-bootstrap3.js, HTTP/1.1, 200, 0.000582
127.0.0.1, 2017-08-08 14:59:32, GET, /welcome/static/js/share.js, HTTP/1.1, 200, 0.000693
127.0.0.1, 2017-08-08 14:59:33, GET, /robots.txt, HTTP/1.1, 400, 0.000288
127.0.0.1, 2017-08-08 14:59:33, GET, /welcome/static/images/background.jpg, HTTP/1.1, 200, 0.000739
127.0.0.1, 2017-08-08 14:59:33, GET, /welcome/static/fonts/glyphicons-halflings-regular.woff2, HTTP/1.1, 200, 0.000758
127.0.0.1, 2017-08-08 14:59:33, GET, /welcome/static/images/twitter.png, HTTP/1.1, 200, 0.001798
127.0.0.1, 2017-08-08 14:59:33, GET, /welcome/static/images/facebook.png, HTTP/1.1, 200, 0.001276
127.0.0.1, 2017-08-08 14:59:33, GET, /welcome/static/images/gplus-32.png, HTTP/1.1, 200, 0.000852
127.0.0.1, 2017-08-08 14:59:33, GET, /welcome/static/images/favicon.ico, HTTP/1.1, 200, 0.000624
127.0.0.1, 2017-08-08 14:59:36, GET, /robots.txt, HTTP/1.1, 400, 0.000477
127.0.0.1, 2017-08-08 14:59:37, GET, /admin/default/site, HTTP/1.1, 303, 0.440555
